Timestamp,age,gender,level,income level,income level (num),ID,Current career /future career,Data scientist?,devices count,own Laptop,own DeskTop,own Tablet,device use ratio ,main device,MAIN usage device,Surfing the internet,device price,what would you rebuy,would he chage his device,operating system,device's performance.,Screen size importance,Portability importance,Upgradability importance, working without cable importance,Performance importance,Affordability importance,CD existence importance,Integrated camera importance,Multiple monitors importance,hours Gaming,hours Work,hours Academic study,Self study hours ,Entertainment (general) hours ,sum of the time spent,processor.,is it intel ,processor generation,how powerful from 1_to_5,graphics card model,how powerful from 1_to_5,point of view
2023/04/27 7:39:22 PM GMT+3,19,Female,Second,Medium,2,20221466240,Data scientist,1,4,Yes,No,Yes,20% using laptop 80% using desktop computer,0,Study,0,35000,Desktop computer,0,Windows,high end specs,3,3,3,2,3,2,1,1,3,1,3,5,5,1,10,Intel Xeon,1,10,3,Rtx 3050,5,"PC, more easier and stable "
2023/04/27 7:41:08 PM GMT+3,19,Female,Second,Medium,2,,Data scientist,1,3,Yes,No,Yes,I only use laptop,1,Study,0,15000,Laptop,0,Windows,medium high specs,4,5,3,4,5,3,1,3,2,1,7,8,3,5,20,Core i7,1,10,5,GTX 1650,4,"Laptop , because laptop easy to move and the weight is low and easy to use "
2023/04/27 7:41:27 PM GMT+3,20,Female,Second,Low,1,,AI Engineer,0,3,Yes,No,Yes,I only use laptop,1,Study,0,18000,Laptop,0,Windows,medium high specs,3,5,5,5,5,3,3,3,1,1,1,5,5,3,10,Ryzen 7,0,7,5,Nvidia gtx,4,laptop
2023/04/27 7:41:39 PM GMT+3,20,Female,Second,Medium,2,20221452375,Data scientist,1,5 or more,Yes,Yes,Yes,I only use laptop,1,Study,0,10000,Laptop,0,Windows,medium high specs,5,5,5,5,5,5,3,4,3,1,5,5,5,5,16,Core i7,1,4,3,,,
2023/04/27 8:00:22 PM GMT+3,20,Female,Second,Medium,2,,Data scientist,1,2,Yes,No,No,I don�t have both,1,Study,0,13800,Laptop,0,Windows,high end specs,3,5,2,5,5,4,1,1,1,1,1,7,5,3,12,Core i5,1,10,5,,,"Laptop, it is more comfortable in portability "
2023/04/27 8:07:40 PM GMT+3,21 or more,Male,Third,Lower medium,3,,Data scientist,1,2,Yes,No,No,I don�t have both,1,Study,0,3500,Laptop,0,Windows,Medium end device ,3,5,5,5,5,4,1,5,5,1,1,8,5,1,12,Core i3,1,3,1,,,Laptop because it is easy to carry
2023/04/27 8:32:20 PM GMT+3,19,Male,Second,Lower medium,3,20221454741,Data scientist,1,5 or more,Yes,Yes,Yes,I only use laptop,1,Gaming,0,21000,Laptop,0,Windows,medium high specs,3,2,4,2,5,5,1,2,2,5,1,1,1,8,12,Core i7,1,10,5,Nvidia GeForce GTX 1660 Ti,4,"PC , Although I have a laptop for academic reasons but PC is the Master Race."
2023/04/27 8:39:52 PM GMT+3,21 or more,Female,Third,Higher medium,4,,cloud computing engineer,0,1,Yes,No,No,I don�t have both,1,Work,0,20000,Laptop,0,Windows,high end specs,4,5,3,5,4,3,1,3,3,3,7,1,1,1,8,Core i7,1,10,5,GTX 1650,4,"I think PC is better but when you're older and more stable, love the aesthetic it's like owning a project car , considering buying one when I have my own house."
2023/04/27 8:46:15 PM GMT+3,18,Male,Second,Lower medium,3,20224324849,web developer,0,3,Yes,No,Yes,I don�t have both,1,Study,0,16000,Laptop,0,Windows,medium high specs,4,3,4,3,5,5,1,1,1,1,1,3,3,1,4,Core i5,1,10,4,GTX1650,4,"Laptop, because it's easier to carry around, clean, lighter than pc"
2023/04/27 8:55:43 PM GMT+3,20,Female,Second,Lower medium,3,,Data scientist,1,3,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Study,0,19000,Laptop,0,Windows,Medium end device,4,5,3,4,5,4,3,3,4,1,1,8,7,1,14,Core i5,1,11,4,NVIDIA GeForce MX350,3,"Laptops, because they can be moved easily "
2023/04/27 9:33:24 PM GMT+3,21 or more,Male,Third,Medium,2,20201500046,Software Developer,0,3,Yes,Yes,Yes,60% using laptop 40% using desktop computer,1,Surfing the internet,1,17000,Laptop,0,Windows,high end specs,2,1,3,1,2,1,2,2,2,3,1,1,3,3,6,AMD 10,0,6,3,Gtx1630,4,"Laptop 
Easy to use and easy to carry"
2023/04/28 10:28:28 AM GMT+3,19,Male,Second,Medium,2,20221461924,Data scientist,1,3,Yes,Yes,Yes,60% using laptop 40% using desktop computer,1,Study,0,15000,Laptop,0,Windows,high end specs,4,4,4,4,5,3,3,2,4,1,3,3,1,5,8,Core i7,1,6,3,Rtx3050,5,"Laptop most of my time 
But Higher work PC "
2023/04/28 12:05:54 PM GMT+3,21 or more,Female,Second,Low,1,20221444974,AI Engineer,0,4,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,5000,Laptop,0,Windows,medium high specs,3,5,5,5,5,5,3,2,2,1,1,3,3,3,6,Core i5,1,6,3,,,"Laptop, lighter and more easy to use. "
2023/04/28 12:53:31 AM GMT+3,19,Male,Second,Medium,2,20221446808,Data scientist,1,3,Yes,Yes,Yes,I only use PC,0,,0,          ,Desktop computer,0,Windows,medium high specs,3,1,5,1,4,3,1,1,1,1,1,1,5,5,8,Ryzen 5,0,2,2,Radeon RX 560,3,PC because of its inherent upgradability
2023/04/28 2:38:29 PM GMT+3,20,Female,Second,Medium,2,202299758,Data scientist,1,4,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,12000,Laptop,0,Windows,medium high specs,2,3,2,3,3,2,1,1,2,1,1,3,3,3,6,Core i5,1,10,4,,,Laptop as it's portable 
2023/04/28 6:17:33 AM GMT+3,20,Male,Third,Higher medium,4,20201370879,mobile developer,0,4,Yes,Yes,Yes,60% using laptop 40% using desktop computer,1,Work,0,25000,Laptop,0,Windows,high end specs,3,4,5,5,5,5,1,2,5,1,8,5,7,1,18,Core i9,1,7,5,RTX 3080,5,"Laptop, You can move with it and work when the electricity is cut off."
2023/04/28 9:42:30 AM GMT+3,19,Female,Second,Medium,2,20221031698,AI Engineer,0,2,Yes,No,No,I don�t have both,1,Study,0,15000,Laptop,0,Windows,Medium end device ,4,5,4,5,5,3,2,3,1,1,5,8,5,7,22,Core i7,1,8,4,,,laptop
2023/04/29 10:11:53 PM GMT+3,21 or more,Female,Third,Lower medium,3,20201378363,Software Developer,0,3,Yes,Yes,Yes,I only use laptop,1,Study,0,14000,Laptop,0,Windows,medium high specs,2,4,3,4,3,3,1,2,1,1,3,5,8,3,16,Core i7,1,11,5,Intel iris plus,3,"Laptop , Because it's portable and i don't have to plug it into electricity all of the time "
2023/04/29 9:33:46 AM GMT+3,21 or more,Female,Third,Lower medium,3,20201447980,mobile developer,0,2,Yes,No,No,I only use laptop,1,Study,0,23000,Laptop,0,Windows,medium high specs,4,5,3,4,5,4,1,3,2,1,3,3,3,1,6,Core i7,1,10,5,Gtx 1650 Ti 4GB ,4,Laptop for the ability to travel with it.
2023/04/30 10:43:01 PM GMT+3,19,Male,First,Medium,2,22010148,Video Game Developer,0,2,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Gaming,0,4000,Desktop computer,0,Windows,Medium end device ,3,2,5,2,4,3,2,1,1,5,1,1,1,5,8,Core i5,1,6,3,530U intel,3,pc
2023/04/30 5:06:53 PM GMT+3,21 or more,Female,Second,Medium,2,20221350979,Data scientist,1,2,Yes,No,No,I don�t have both,1,Gaming,0,           ,Laptop,0,Windows,medium high specs,1,2,1,2,1,2,1,2,3,1,3,3,3,3,8,AMD 10,0,10,3,,,Laptop for its portability 
2023/04/30 5:26:02 PM GMT+3,20,Male,Second,Medium,2,20221370972,Data scientist,1,4,Yes,No,No,80% using laptop 20% using desktop computer,1,Study,0,           ,Laptop,0,Windows,medium high specs,4,4,4,4,5,3,3,4,4,1,8,5,8,7,26,Core i7,1,11,5,,,Laptop is very easy used 
2023/04/30 5:30:45 PM GMT+3,19,Male,First,Higher medium,4,22011602,web developer,0,4,Yes,Yes,Yes,60% using laptop 40% using desktop computer,1,Work,0,25000,Laptop,0,Windows,Low end device,2,2,3,3,3,2,2,3,1,1,3,3,3,3,8,Ryzen 5,0,11,4,,,"Laptop, because it is easier to move "
2023/04/30 5:30:47 PM GMT+3,18,Female,First,Higher medium,4,,Data scientist,1,3,Yes,No,Yes,I only use laptop,1,Surfing the internet,1,23000,Laptop,0,Windows,Low end device,2,1,1,1,1,2,2,3,3,1,1,3,5,1,6,Core i7,1,11,5,,,
2023/04/30 5:38:23 PM GMT+3,19,Female,First,Low,1,22010323,Data scientist,1,3,Yes,No,Yes,I only use laptop,1,Study,0,20000,Laptop,0,Windows,Medium end device,3,4,5,4,5,4,1,2,2,1,1,3,5,3,8,Core i5,1,6,3,,,Laptop because of its easy portability
2023/04/30 5:42:28 PM GMT+3,20,Female,First,Medium,2,22222060,Data scientist,1,4,Yes,No,Yes,I only use laptop,1,Study,0,21000,Laptop,0,Windows,high end specs,4,5,5,5,5,5,1,5,4,1,1,5,3,3,8,Ryzen 7,0,11,5,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,5,"Laptops , easy "
2023/04/30 5:43:06 PM GMT+3,19,Male,First,Lower medium,3,22010030,Data scientist,1,3,Yes,No,Yes,I don’t have both,1,Study,0,18500,Laptop,0,Windows,medium high specs,3,4,2,4,4,3,1,1,2,1,3,3,3,1,6,Intel Xeon,1,3,3,Quadro P2000,3,Laptop because it's portability 
2023/04/30 5:48:03 PM GMT+3,18,Male,First,Low,1,22010100,web developer,0,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,23000,Laptop,0,Windows,medium high specs,3,5,5,4,5,4,2,2,3,1,3,7,3,5,14,Core i5,1,11,4,RTX 3050 ti,5,i prefer pc in all things but the one thing the laptop has more better in it is the Mobility and flexibility
2023/04/30 5:51:13 PM GMT+3,20,Male,First,Low,1,22010027,web developer,0,3,Yes,Yes,Yes,I only use laptop,1,Gaming,0,23000,Desktop computer,1,Windows,high end specs,5,5,5,3,5,5,1,3,4,5,5,3,5,5,18,Core i7,1,11,5,GTX 1650,4,"The personal computer because it is better at cooling the parts of the computer, which leads to it not getting hot quickly like a laptop, and also I can upgrade it at any time and anything inside it, unlike a laptop whose upgrade is somewhat difficult because the parts that can be upgraded are limited and in some laptops there is no modification option or upgrade"
2023/04/30 5:58:51 PM GMT+3,19,Male,First,Low,1,22010165,Data scientist,1,3,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Gaming,0,4500,Desktop computer,0,Windows,medium high specs,5,3,3,5,5,3,2,1,1,5,1,1,3,3,8,AMD 10,0,4,3,R7 2GB ,4,"I prefer a PC because laptops work with batteries, and I used to use a PC a lot."
2023/04/30 6:01:24 PM GMT+3,20,Female,First,Lower medium,3,22010179,Data scientist,1,2,Yes,No,No,I don�t have both,1,Study,0,14000,Laptop,0,Windows,Medium end device ,4,5,4,4,5,4,2,2,1,1,1,5,3,5,10,Core i5,1,11,4,Nividia GeForce MX350 (2GB GDDR5 dedicated),3,Laptop because of the portability 
2023/04/30 6:01:25 PM GMT+3,19,Male,First,Medium,2,22011965,Data scientist,1,4,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Gaming,0,20000,Desktop computer,0,Windows,medium high specs,3,2,4,2,5,4,1,2,1,1,1,1,1,1,0,Core i5,1,12,4,RTX 2060,5,PC because it’s upgradable so you don’t have to throw the whole thing when it gets old
2023/04/30 6:08:23 PM GMT+3,19,Male,First,Medium,2,22010146,Data scientist,1,2,Yes,No,No,80% using laptop 20% using desktop computer,1,Work,0,30000,Desktop computer,1,Windows,medium high specs,4,2,5,1,5,5,1,2,4,5,3,1,5,1,10,Core i7,1,11,5,Rtx 3050,5,Pc.   Bec he is more powerfull
2023/04/30 6:17:16 PM GMT+3,20,Female,First,Medium,2,20221462480,,0,2,Yes,No,No,80% using laptop 20% using desktop computer,1,Study,0,13000,Laptop,0,Windows,Medium end device ,3,4,4,5,5,4,4,3,2,3,5,7,3,1,14,Core i3,1,3,1,,,Laptop
2023/04/30 6:28:47 PM GMT+3,20,Male,First,Low,1,220111239,Video Game Developer,0,2,Yes,No,No,60% using laptop 40% using desktop computer,1,Study,0,12000,Laptop,0,Windows,Medium end device ,3,2,3,2,3,3,2,2,2,1,3,3,3,5,10,Core i7,1,6,3,,,"Laptop, because it's light weight, easy to move and it costs money less than pc"
2023/04/30 6:47:41 PM GMT+3,20,Male,First,Low,1,,Software Developer,0,3,Yes,No,Yes,I only use laptop,1,Study,0,11000,Laptop,0,Windows,medium high specs,1,1,2,1,1,3,3,3,3,1,3,3,1,1,4,Core i5,1,10,4,,,laptop 
2023/04/30 7:25:39 PM GMT+3,18,Male,First,Low,1,,Cyber security analyst,0,4,Yes,Yes,Yes,I only use laptop,1,Study,0,30000,Laptop,0,Windows,medium high specs,3,5,3,5,4,4,1,2,1,1,1,3,3,3,6,Ryzen 9,0,5,5,Nvidia RTX 3060 mobile 60w ,5,Laptop mainly for the portability and the convenience of having tons of computing capability on the go 
2023/04/30 8:34:22 PM GMT+3,19,Female,First,Lower medium,3,22011607,Data scientist,1,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Surfing the internet,1,14000,Laptop,0,Windows,medium high specs,4,5,5,5,5,5,2,3,4,1,3,3,5,5,12,Core i7,1,6,3,,,"laptop
for all readons that I checked it before"
2023/04/30 9:10:33 PM GMT+3,18,Female,First,Low,1,22010292,mobile developer,0,4,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,3000,Laptop,0,Linux,Medium end device,5,5,4,5,5,5,2,1,1,1,1,8,5,1,12,Core i3,1,1,1,GMA HD 3150,3,"Laptop because it's portable,  pc gives much more amazing capabilities for the same price as for laptop but to me personally portability is more important"
2023/04/30 9:49:34 PM GMT+3,18,Male,First,Low,1,22010075,Data scientist,1,2,Yes,No,Yes,I only use laptop,1,Work,0,16000,Laptop,0,Windows,medium high specs,5,5,3,1,5,5,1,1,1,1,1,5,1,3,6,Core i5,1,11,4,nvidia geforce mx350,3,"laptop since I can take it to college, work, presentations"
2023/05/01 1:11:52 PM GMT+3,19,Male,First,Low,1,22010202,Data scientist,1,4,Yes,Yes,Yes,I only use laptop,1,Surfing the internet,1,4000,Laptop,0,Windows,Medium end device,5,4,5,5,5,5,1,1,2,1,1,1,1,5,4,Core i5,1,7,3,,,Laptop so I can go to any where with it
2023/05/01 11:41:11 PM GMT+3,19,Female,Third,Higher medium,4,20201048712,Software Developer,0,1,Yes,No,No,I don�t have both,1,Study,0,18950,Laptop,0,Windows,medium high specs,2,4,3,5,5,4,1,2,1,1,3,1,5,1,6,Core i5,1,8,3,NVIDIA GeForce MX350,3,"Laptop , because it's more easy to use "
2023/05/01 12:10:27 AM GMT+3,20,Male,First,Medium,2,22011558,mobile developer,0,4,Yes,No,Yes,I only use laptop,1,Study,0,20000,Laptop,0,Windows,high end specs,2,3,1,2,3,3,1,1,1,5,1,3,3,1,8,Ryzen 7,0,9,5,Rtx 3050ti,5,as my career recommend i will say laptop will be more fun 
2023/05/01 5:45:14 PM GMT+3,20,Female,Third,Higher medium,4,20201032790,mobile developer,0,3,Yes,No,Yes,I only use laptop,1,Study,0,24000,Laptop,0,Windows,Medium end device,3,4,4,5,5,4,1,2,1,1,1,3,1,1,2,Core i5,1,8,3,NVIDIA GeForce MX110,2,"Laptop , because i can take it anywere"
2023/05/01 6:01:15 PM GMT+3,20,Female,Third,Low,1,20201381050,web developer,0,3,Yes,Yes,Yes,I only use PC,0,Surfing the internet,1,40000,Laptop,1,Windows,high end specs,2,3,2,2,3,2,2,2,1,5,3,7,7,7,24,Core i3,1,5,2,,,"Laptop,Portability"
2023/05/02 10:32:47 PM GMT+3,20,Male,Second,Low,1,20221374504,Data scientist,1,3,Yes,No,Yes,I don’t have both,1,Study,0,13000,Laptop,0,Windows,Medium end device ,3,5,4,4,5,5,2,3,2,1,1,3,3,1,4,Core i7,1,10,5,intel(R) UHD graphics - nvidia Geforce MX250,2,"laptop , Because it is easy to move around"
2023/05/02 10:34:19 PM GMT+3,20,Female,Second,Medium,2,,AI Engineer,0,3,Yes,Yes,Yes,I only use laptop,1,Study,0,25000,Laptop,0,Windows,medium high specs,4,5,2,5,5,5,2,5,5,1,1,3,1,1,2,Ryzen 7,0,10,5,1650th,4,Laptop .. easy 
2023/05/02 11:37:51 PM GMT+3,21 or more,Male,Second,Medium,2,,Data scientist,1,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,18000,Laptop,0,Windows,medium high specs,3,4,4,4,4,3,1,1,3,1,3,3,5,3,10,Core i7,1,10,5,Gtx1660,4,Laptop 
2023/05/02 8:16:58 PM GMT+3,20,Female,Second,Low,1,20221441791,Graphic Designer ,0,3,Yes,No,Yes,I don�t have both,1,Work,0,32000,Laptop,0,Windows,high end specs,4,5,4,5,5,5,1,4,2,1,7,1,1,1,6,Core i5,1,11,4,Nividia GTX 1650,4,Laptop to be portable
2023/05/02 8:21:13 PM GMT+3,21 or more,Female,Fourth,Low,1,20191614139,Data scientist,1,2,Yes,No,No,I don�t have both,1,Surfing the internet,1,8000,Desktop computer,1,Windows,Medium end device,4,5,5,3,5,5,1,3,4,1,3,7,3,7,16,Core i5,1,4,2,,,Laptop because it’s portable and have battery 
2023/05/02 8:30:37 PM GMT+3,19,Female,First,Medium,2,22010279,Data scientist,1,3,Yes,No,No,I don�t have both,1,Study,0,24000,Laptop,0,Windows,medium high specs,4,3,4,4,4,4,1,1,1,1,1,7,3,1,8,Core i7,1,11,5,intel IRIS,3,laptop cause its light  and i can take it with me any where
2023/05/02 8:35:33 PM GMT+3,19,Female,Second,Medium,2,20221370618,AI Engineer,0,4,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,16000,Laptop,0,Windows,medium high specs,3,2,3,3,3,3,3,3,3,1,3,5,5,1,10,Core i5,1,4,2,,,"Laptop , it's satisfying more"
2023/05/02 8:46:32 PM GMT+3,21 or more,Male,Fourth,Medium,2,20191524956,web developer,0,3,Yes,No,No,I don�t have both,1,Surfing the internet,1,2400,Laptop,0,Windows,Medium end device,4,5,4,3,4,4,3,4,3,1,5,1,3,1,6,AMD a4,0,5,1,,,Laptop
2023/05/02 9:17:57 PM GMT+3,20,Male,Second,Medium,2,20221442249,Data scientist,1,3,Yes,Yes,Yes,I only use laptop,1,Study,0,21000,Laptop,0,Windows,high end specs ,4,4,5,3,5,4,1,2,2,5,3,7,5,3,18,Ryzen 5,0,5,4,Gtx1650Ti,4,"Pc for more stability, upgradeability, better to work on. Laptop has portability and flexibility, both are good depending on current state."
2023/05/02 9:26:14 PM GMT+3,19,Male,Second,Medium,2,,AI Engineer,0,2,Yes,No,No,I don�t have both,1,Work,0,          ,Laptop,0,Windows,Medium end device,3,2,3,4,5,4,1,5,4,1,3,1,3,1,4,Ryzen 3,0,4,3,,,"Laptop: light weight, portable."
2023/05/02 9:57:18 PM GMT+3,17,Female,Fourth,Low,1,,,0,1,Yes,Yes,Yes,I only use laptop,1,Gaming,0,5000,Desktop computer,0,Mac,Low end device,1,1,1,1,1,1,1,1,1,7,1,1,1,7,12,Snapdragon 8 gen 3 + pro max ultra ,0,13,,RTX 5090 Ti,5,
2023/05/03 1:58:35 PM GMT+3,18,Male,Second,Low,1,20221450635,Data scientist,1,3,Yes,Yes,Yes,40% using laptop 60% using desktop computer,0,Gaming,0,3000,Laptop,0,Windows,Low end device,4,4,4,4,4,4,4,4,4,5,5,5,5,5,20,Core i7,1,11,5,,,Laptop 
2023/05/03 10:11:29 AM GMT+3,19,Male,First,Medium,2,111111111,Software Developer,0,3,Yes,No,Yes,I only use laptop,1,Study,0,25000,Laptop,0,Windows,medium high specs,5,3,1,5,5,5,1,4,1,5,8,8,3,1,22,Core i7,1,11,5,Rtx 3050,5,"Laptop
As it is portable"
2023/05/03 10:12:25 AM GMT+3,20,Male,First,Lower medium,3,21010023,Penetration tester,0,4,Yes,Yes,Yes,I only use laptop,1,Study,0,16000,Laptop,0,Windows,medium high specs,2,4,4,3,4,4,3,2,3,1,1,5,3,3,8,Core i5,1,5,2,,,laptop; as it is portable and there are very slight differences between pc and laptop I can neglect
2023/05/03 10:46:07 AM GMT+3,19,Female,Second,Low,1,20221440817,mobile developer,0,4,Yes,Yes,Yes,I only use laptop,1,Study,0,10000,Laptop,0,Windows,medium high specs,4,5,5,3,5,5,1,1,5,1,1,8,3,3,12,Core i7,1,4,3,NVIDIA Quadro K2100M,3,"Laptop 
I own the laptop but the pc is used by the whole family and laptop is much easier to use and to transport with it"
2023/05/04 1:05:36 PM GMT+3,21 or more,Male,Fourth,Lower medium,3,20191524956,web developer,0,3,Yes,No,No,I don�t have both,1,Work,0,2400,Laptop,0,Windows,Medium end device,2,3,1,2,2,2,1,3,1,1,1,3,3,3,6,AMD a4,0,4,1,,,Laptop because of portability
2023/05/04 1:16:40 PM GMT+3,21 or more,Male,Second,Low,1,20221424242,Data scientist,1,2,Yes,Yes,Yes,I only use PC,0,Gaming,0,14800,Laptop,1,Windows,medium high specs,2,4,4,2,4,4,1,1,2,1,1,1,1,3,2,Ryzen 5,0,3,3,Rx 5700,3,"Currently a laptop would be more convenient for my use because of traveling mostly but I prefer a desktop PC more for reasons such as performance to price ratio,temps,ease of upgradability and a comfier setup"
2023/05/04 1:41:39 PM GMT+3,19,Male,First,Medium,2,22010166,Data scientist,1,4,Yes,Yes,Yes,I only use laptop,1,Study,0,22000,Laptop,0,Windows,medium high specs,3,4,4,4,4,3,1,2,2,1,1,1,3,1,2,Core i7,1,7,3,,,laptop...more permanent usable
2023/05/04 1:43:10 PM GMT+3,21 or more,Female,Fourth,Lower medium,3,20191617046,web developer,0,2,Yes,No,No,I don�t have both,1,Study,0,           ,Laptop,0,Windows,medium high specs,2,4,4,5,5,4,3,3,4,1,1,5,7,3,12,Core i7,1,8,4,Intel (R) UHD graphics 620,2,PC to take it anywhere 
2023/05/04 1:51:18 PM GMT+3,21 or more,Female,Third,Medium,2,,Data scientist,1,2,Yes,No,No,I don�t have both,1,Study,0,17000,Laptop,0,Windows,medium high specs,4,5,4,5,5,4,1,3,3,1,1,5,3,1,6,Core i7,1,7,3,,,"Laptop
More flexible with performance near to pc"
2023/05/04 11:20:10 AM GMT+3,21 or more,Male,Fourth,Low,1,2010592694,Software Developer,0,2,Yes,No,No,20% using laptop 80% using desktop computer,0,Study,0,18000,Laptop,0,Windows,medium high specs,3,2,3,1,3,3,1,1,3,1,5,5,5,3,14,Ryzen 7,0,9,5,Gtx1660i,4,More pc
2023/05/04 11:51:51 AM GMT+3,20,Male,Second,Medium,2,3.03E+11,Student,0,5 or more,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Work,0,50000,Desktop computer,0,Windows,high end specs,3,1,3,1,3,3,1,1,3,1,5,5,3,1,10,Core i5,1,11,4,3070 ti,5,Pc more powerful
2023/05/04 11:53:24 AM GMT+3,21 or more,Male,Fourth,Medium,2,2019567134,Data scientist,1,3,Yes,Yes,Yes,40% using laptop 60% using desktop computer,0,,0,30000,Desktop computer,0,Windows,medium high specs,3,4,5,3,5,5,3,4,2,5,7,7,7,5,26,Core i7,1,9,5,Rtx 3060-Gtx1660 ti,5,"Pc , because it has more power than a laptop and it's setup is better"
2023/05/04 12:49:36 PM GMT+3,21 or more,Male,Fourth,Low,1,20191480201,Data scientist,1,2,Yes,Yes,Yes,I only use laptop,1,Study,0,12000,Laptop,0,Windows,high end specs,2,2,3,1,2,2,3,1,2,1,3,5,3,5,12,Core i7,1,5,3,,,"Laptop , is better "
2023/05/04 12:51:55 PM GMT+3,19,Male,First,Low,1,22011469,Data scientist,1,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,15000,Laptop,0,Windows,Medium end device,1,5,4,4,5,3,2,3,2,1,3,5,5,3,12,Core i5,1,12,4,Integrated,2,Laptop 
